sut,success,headerprecision,headerrecall,headerf1,recordprecision,recordrecall,recordf1,cellprecision,cellrecall,cellf1,pollock_simple,table_success,table_header_f1,table_record_f1,table_cell_f1,inconsistent_success,inconsistent_header_f1,inconsistent_record_f1,inconsistent_cell_f1,structural_success,structural_header_f1,structural_record_f1,structural_cell_f1,pollock_weighted
dataviz,1.0,0.7421639980591946,0.6376322173702087,0.6793708648242338,0.0008733624454148472,0.0008733624454148472,0.0008733624454148472,0.6898771978466302,0.6103411055349706,0.6415351158869251,5.003540586858407,1.0,0.46881091617933723,0.16666666666666666,0.6452208594752292,1.0,0.7368421052631577,0.0,0.7330827067669173,1.0,0.5752723088141464,0.0,0.4859467849908032,5.152075038173514
pycsv,0.9995633187772925,0.9948083454633674,0.9949457771728514,0.9946934721887741,0.9235120052047575,0.9243365112760061,0.9238184104784567,0.9888622765825902,0.9881831483900538,0.9884112189282177,9.721134484462366,0.9166666666666666,0.6666666666666666,0.7823005424160007,0.8239704622270946,1.0,0.998886104149262,0.9277108433734937,0.9907529722589169,1.0,0.9940852290359783,0.922965360584706,0.9874647770211075,9.436578606095626
mariadb,1.0,0.9982532751091703,0.9982532751091703,0.9982532751091703,0.9744198863833221,0.9791277420440553,0.9767592382953514,0.8859083592984262,0.8876855179161546,0.88637488937016,9.58503545863498,1.0,0.75,0.9859797382234435,0.907012731854307,1.0,1.0,0.986644992669089,0.8888888888888891,1.0,0.9988207547169812,0.9724777135628223,0.8831809939053188,7.483461768268926
opencsv,0.6698689956331878,0.6656477438136826,0.6655943716642407,0.665600725849215,0.6563791645439999,0.6559281313922743,0.6560008786312563,0.6658689655690762,0.6656259894318216,0.6656147811247844,6.632129747653538,1.0,0.75,0.905676092366992,0.9121250090282335,1.0,0.9993734335839598,0.9879518072289156,0.9980171844018508,0.10849056603773585,0.10298742138364779,0.10084726093210643,0.10290045692979317,7.7468273481055565
csvcommons,0.6668122270742358,0.6643862202814167,0.6642903930131004,0.6643192234374788,0.6634976587572998,0.6634719104667173,0.6634846467277097,0.6656096208497956,0.665720826715143,0.6656629022349004,6.647255629557798,0.75,0.5,0.7475168710198651,0.7455795335885833,1.0,0.9993734335839598,1.0,0.9993390614672835,0.10613207547169812,0.10495283018867925,0.10425664923846328,0.10520718302187582,9.253971073125165
sqlite,1.0,0.996943231441048,0.996943231441048,0.996943231441048,0.9919976850633976,0.9923979135506468,0.9921963666997281,0.9957048127353801,0.9961050155142114,0.9959035020257385,9.955134989912247,1.0,0.6666666666666666,0.9965009375189017,0.9112366982012307,1.0,1.0,1.0,1.0,1.0,0.9964622641509434,0.987237888087513,0.992492086058491,9.375922514033702
rhypoparsr,1.0,0.19830179524502667,0.19868995633187772,0.19834061135371178,0.12494870310938068,0.12388350267778171,0.1243999630927705,0.6071746332387149,0.7085532900607961,0.6042575777100009,3.8885500328200613,1.0,0.3499999999999999,0.3064480619941986,0.5352002366482905,1.0,0.07407407407407407,0.07984556799577357,0.4486532724392544,1.0,0.2688679245283019,0.16706964101926952,0.6998140522594245,4.372305835958847
postgres,0.016593886462882096,0.015283842794759825,0.015283842794759825,0.015283842794759825,0.012663755458515284,0.01265329565297998,0.012658494048029389,0.011883967560823454,0.011873692708524456,0.011878799551505868,0.13605741982754002,0.5,0.3333333333333333,0.49899594749894155,0.37202964457110016,0.011904761904761904,0.011904761904761904,0.011904761904761904,0.011763038548752833,0.01650943396226415,0.015330188679245283,0.00589622641509434,0.005826033243486073,6.961704544441714
spreadweb,0.9982532751091703,0.9936438622028141,0.9811970768193475,0.9864590025683785,0.9892565896774871,0.9890020424976635,0.9890187163129183,0.9375785459715066,0.9262389167097228,0.9311091903406875,9.721757218209696,1.0,0.7407120743034056,0.9141835376865317,0.8616011127514515,1.0,0.9993734335839598,1.0,0.9425307647425444,0.9952830188679245,0.9705813779064937,0.979814455075878,0.9158286351229251,9.43158721533148
mysql,1.0,0.9982532751091703,0.9982532751091703,0.9982532751091703,0.9753511222437944,0.9796740154324219,0.9774991582549778,0.8859799842608808,0.8877186626375725,0.8864272869439392,9.587410055101097,1.0,0.75,0.9859797382234435,0.907012731854307,1.0,1.0,0.9879518072289156,0.8890446096133928,1.0,0.9988207547169812,0.9720943651442608,0.8831139235313162,7.484067529824339
univocity,0.9995633187772925,0.9941775836972343,0.994831865126625,0.9943565952331348,0.9903298784658283,0.9900805283443412,0.9900945878817662,0.9952900810979411,0.9954414532751081,0.9952532639650047,9.939419155864277,1.0,0.75,0.9141835376865317,0.9130610085777612,1.0,0.9993734335839598,1.0,0.9993390614672835,0.9988207547169812,0.9907833422435254,0.9827198157983564,0.9909263562786779,7.936766651357976
clevercs,1.0,0.9750606501698206,0.9750072780203783,0.975013632205353,0.8133108854632503,0.8916173708963048,0.8396813474434656,0.8905974908158314,0.9292589596515749,0.90353558540292,9.1930832000689,1.0,0.75,0.9136845356905238,0.9130610085777612,1.0,0.9993734335839598,1.0,0.9993390614672835,1.0,0.9385482180293502,0.5765401783222285,0.743159794283074,9.453858182803915
duckdb,0.9995633187772925,0.9991266375545852,0.9991266375545852,0.9991266375545852,0.8251170621350028,0.9905953179045387,0.8639735284828213,0.8275097617892377,0.9992594228806209,0.8668680372060394,9.37026636183931,1.0,0.9166666666666666,0.9796850217601221,0.9799030017139768,1.0,1.0,1.0,1.0,0.9988207547169812,0.9988207547169812,0.640458532611216,0.6475113216563665,9.411693215293548
