file,rhypoparsr_success,rhypoparsr_header_precision,rhypoparsr_header_recall,rhypoparsr_header_f1,rhypoparsr_record_precision,rhypoparsr_record_recall,rhypoparsr_record_f1,rhypoparsr_cell_precision,rhypoparsr_cell_recall,rhypoparsr_cell_f1
moj-aramis-data-march-11.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
April-2011-for-publication.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
tetranatrolite.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PLA_6%Talc-1hz.csv,1,0.16666666666666666,0.000859106529209622,0.0017094017094017092,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.25_7.dat.csv,1,0.0036028398855568505,0.08232445520581114,0.0069035532994923855,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_5.dat__m23.csv,1,0.008052490307187594,0.11842105263157894,0.01507958670762357,1.0,1.0,1.0,1.0,1.0,1.0
Auto_Tone_sub242_nov.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.25_10.dat__m21Infos.csv,1,0.3142857142857143,0.3142857142857143,0.3142857142857143,1.0,1.0,1.0,1.0,1.0,1.0
narrow.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.75_9.datInfos.csv,1,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0
nati-clin-audi-bowe-canc-2017-tran-main-fiel-list.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
senior-staff-march-2020.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1% nano+20% micro.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.75_10.dat__m13.csv,1,0.008963585434173669,0.09195402298850575,0.01633486472690148,1.0,1.0,1.0,1.0,1.0,1.0
dwp-cmg-spend-1214.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Batch_3250493_batch_results.csv,1,0.13745704467353953,0.6153846153846154,0.22471910112359553,1.0,1.0,1.0,1.0,1.0,1.0
mos-oct-dec-2014.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
locations-1998.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
public-toilet-borough-grid.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
permanent_secretary_and_director_general_expenses_and_hospitality_april_to_june_2012.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
download (10).csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-2016.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
fr_hypo1.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1% SiO2_003.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.75_2.dat.csv,1,0.0036028398855568505,0.08232445520581114,0.0069035532994923855,1.0,1.0,1.0,1.0,1.0,1.0
prison-and-probation-ombudsman__30-09-2014__justice_PPO-September-Return-senior.csv,1,0.6875,0.9482758620689655,0.7971014492753623,1.0,1.0,1.0,1.0,1.0,1.0
Auto_Tone_sub205_over.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fr_RG65_pageid.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ministry-of-defence__30-09-2012__mod_300912-Air-Govt-data-template-u-senior.csv,1,0.5116279069767442,0.8413001912045889,0.6362979031091829,1.0,1.0,1.0,1.0,1.0,1.0
Sun2014-Rs.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.50_4.dat.csv,1,0.0036028398855568505,0.08232445520581114,0.0069035532994923855,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.75_4.datInfos.csv,1,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0
trinity-house__31-03-2015__dft_310315-Trinity-House-Organogram-ver-1-junior.csv,1,0.5490056818181818,0.7526777020447907,0.6349075975359343,1.0,1.0,1.0,1.0,1.0,1.0
Feb-2016.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
dd_Wickenburg_nobmp_623.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
over25k-transparency.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Copy_of_2016-17_Q3_Final_V2.csv,1,0.011210762331838564,0.0012732365673542145,0.0022867596615595703,1.0,1.0,1.0,1.0,1.0,1.0
10.January_2019.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.25_5.dat__m28.csv,1,0.007705273296412232,0.12648221343873517,0.014525646845211074,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.75_1.dat__m21Infos.csv,1,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0
erionite.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
download (6).csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.75_3.dat.csv,1,0.0036028398855568505,0.08232445520581114,0.0069035532994923855,1.0,1.0,1.0,1.0,1.0,1.0
Takakai2008-ch4.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S30out.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
LOS_1050CFit.csv,1,0.5,0.2,0.28571428571428575,1.0,1.0,1.0,1.0,1.0,1.0
student_loans_company_limited-2011-09-30-organogram-senior.csv,1,0.7151162790697675,0.9389312977099237,0.8118811881188119,1.0,1.0,1.0,1.0,1.0,1.0
OccurrenceData351.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.50_1.datInfos.csv,1,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0
Kokad pollen.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HMRC_spending_over_25000_for_September_2018.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
epcs-dwp-cmg-spend-july-2017.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pssave_traindata_m=10_n=10_timelow=15_timehight=30_numofloop=2000.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hist_2000_15O.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mordenite-dh-2.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.75_5.dat__m29Infos.csv,1,0.2571428571428571,0.2571428571428571,0.2571428571428571,1.0,1.0,1.0,1.0,1.0,1.0
Oct_2013.csv,1,0.12195121951219512,0.0004356159609688099,0.0008681309141418525,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x500-0.75_3.dat.csv,1,0.0019223158251823374,0.05128205128205128,0.0037057220708446867,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_1.dat__m21.csv,1,0.008216364258815475,0.11214953271028037,0.015311004784688996,1.0,1.0,1.0,1.0,1.0,1.0
ministers-overseas-travel-jan-mar-2013.csv,1,0.1111111111111111,0.0625,0.08,1.0,1.0,1.0,1.0,1.0,1.0
Consular_cases_April_2016.csv,1,0.012195121951219513,5.2820621170504965e-05,0.00010518565267697487,1.0,1.0,1.0,1.0,1.0,1.0
NBA_scores_out.csv,1,0.5,0.40217391304347827,0.4457831325301205,1.0,1.0,1.0,1.0,1.0,1.0
workforce-management-information-dft_201706.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_3.dat.csv,1,0.007582720588235294,0.1274131274131274,0.014313597918022123,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x500-0.50_6.datInfos.csv,1,0.2857142857142857,0.2857142857142857,0.2857142857142857,1.0,1.0,1.0,1.0,1.0,1.0
AL5083-emissivity.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
bioprofile_fits_K1par-0mMCD_sets.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_10.dat__m28Infos.csv,1,0.3142857142857143,0.3142857142857143,0.3142857142857143,1.0,1.0,1.0,1.0,1.0,1.0
wairakite-dh.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Wine_Cellar_Consumption_dataset_14-15.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
W44out.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
rape_table_3_prosecution_outcomes_0708_1314.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
hypo5.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Sustainability_-_Water_consumption_P_56.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
vissim_data_conf2473_i7_v1987.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
vissim_data_conf2473_i12_v2026.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
extended.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S39.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Resultsgk06.datInfos.csv,1,0.4,0.4,0.4000000000000001,1.0,1.0,1.0,1.0,1.0,1.0
SouthTrent_Demand_zone-based.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
O18_air.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Note_4_Staff_costs_-_Average_number_of_persons_employed_13-14.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
W38out.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
20170320-ePC_Data-Travel-Stationery.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
business_expenses_apr_jun_14_peter_lewis.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GPC_DCLG_December_2015_for_Publication.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
W32.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Camp Palacios - Wind Direction.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Businesses with a rateable value of less than £12,000 - March 2016.csv",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
june_2015(1).csv,1,0.09090909090909091,0.5,0.15384615384615385,1.0,1.0,1.0,1.0,1.0,1.0
planning-application-aug-17.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
air_quality_station3_2006.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Wakefield Council Procurement Card Transactions 2018-19 Q2.csv,1,0.043478260869565216,0.5,0.08,1.0,1.0,1.0,1.0,1.0,1.0
spending_2020_01.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Camp Palacios - Humidity.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fire_archive_V1_50574.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
all.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
