file,opencsv_success,opencsv_header_precision,opencsv_header_recall,opencsv_header_f1,opencsv_record_precision,opencsv_record_recall,opencsv_record_f1,opencsv_cell_precision,opencsv_cell_recall,opencsv_cell_f1
moj-aramis-data-march-11.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
April-2011-for-publication.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
tetranatrolite.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
PLA_6%Talc-1hz.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.25_7.dat.csv,1,0.24372152167002226,0.24372152167002226,0.24372152167002226,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_5.dat__m23.csv,1,0.4357291977333731,0.4357291977333731,0.4357291977333731,1.0,1.0,1.0,1.0,1.0,1.0
Auto_Tone_sub242_nov.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.25_10.dat__m21Infos.csv,1,0.37142857142857144,0.37142857142857144,0.37142857142857144,1.0,1.0,1.0,1.0,1.0,1.0
narrow.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.75_9.datInfos.csv,1,0.3142857142857143,0.3142857142857143,0.3142857142857143,1.0,1.0,1.0,1.0,1.0,1.0
nati-clin-audi-bowe-canc-2017-tran-main-fiel-list.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
senior-staff-march-2020.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1% nano+20% micro.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.75_10.dat__m13.csv,1,0.6408963585434174,0.6011560693641619,0.6203904555314534,1.0,1.0,1.0,1.0,1.0,1.0
dwp-cmg-spend-1214.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Batch_3250493_batch_results.csv,1,1.0,0.9965753424657534,0.9982847341337907,1.0,1.0,1.0,1.0,1.0,1.0
mos-oct-dec-2014.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
locations-1998.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
public-toilet-borough-grid.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
permanent_secretary_and_director_general_expenses_and_hospitality_april_to_june_2012.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
download (10).csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2004-2016.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
fr_hypo1.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
1% SiO2_003.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.75_2.dat.csv,1,0.670869979866483,0.670869979866483,0.670869979866483,1.0,1.0,1.0,1.0,1.0,1.0
prison-and-probation-ombudsman__30-09-2014__justice_PPO-September-Return-senior.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Auto_Tone_sub205_over.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fr_RG65_pageid.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ministry-of-defence__30-09-2012__mod_300912-Air-Govt-data-template-u-senior.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Sun2014-Rs.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.50_4.dat.csv,1,0.4520504397583978,0.4520504397583978,0.4520504397583978,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.75_4.datInfos.csv,1,0.3142857142857143,0.3142857142857143,0.3142857142857143,1.0,1.0,1.0,1.0,1.0,1.0
trinity-house__31-03-2015__dft_310315-Trinity-House-Organogram-ver-1-junior.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Feb-2016.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
dd_Wickenburg_nobmp_623.csv,1,0.03654970760233918,0.0005891779788838612,0.001159662306336395,1.0,1.0,1.0,1.0,1.0,1.0
over25k-transparency.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Copy_of_2016-17_Q3_Final_V2.csv,1,0.011210762331838564,0.0010695187165775401,0.0019527436047646945,1.0,1.0,1.0,1.0,1.0,1.0
10.January_2019.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.25_5.dat__m28.csv,1,0.24223452925595954,0.24223452925595954,0.24223452925595954,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.75_1.dat__m21Infos.csv,1,0.34285714285714286,0.34285714285714286,0.34285714285714286,1.0,1.0,1.0,1.0,1.0,1.0
erionite.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
download (6).csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.75_3.dat.csv,1,0.6604853237257603,0.6604853237257603,0.6604853237257603,1.0,1.0,1.0,1.0,1.0,1.0
Takakai2008-ch4.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
S30out.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
LOS_1050CFit.csv,1,0.5,0.0002911208151382824,0.0005819028222286878,1.0,1.0,1.0,1.0,1.0,1.0
student_loans_company_limited-2011-09-30-organogram-senior.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
OccurrenceData351.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x250-0.50_1.datInfos.csv,1,0.3142857142857143,0.3142857142857143,0.3142857142857143,1.0,1.0,1.0,1.0,1.0,1.0
Kokad pollen.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
HMRC_spending_over_25000_for_September_2018.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
epcs-dwp-cmg-spend-july-2017.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
pssave_traindata_m=10_n=10_timelow=15_timehight=30_numofloop=2000.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
hist_2000_15O.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
mordenite-dh-2.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.75_5.dat__m29Infos.csv,1,0.3142857142857143,0.3142857142857143,0.3142857142857143,1.0,1.0,1.0,1.0,1.0,1.0
Oct_2013.csv,1,0.12195121951219512,0.00022486058643640943,0.0004488934775777708,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x500-0.75_3.dat.csv,1,0.6957652513145248,0.6957652513145248,0.6957652513145248,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_1.dat__m21.csv,1,0.4351249572064361,0.4171316048572366,0.42593833780160856,1.0,1.0,1.0,1.0,1.0,1.0
ministers-overseas-travel-jan-mar-2013.csv,1,0.2777777777777778,0.07352941176470588,0.11627906976744186,1.0,1.0,1.0,1.0,1.0,1.0
Consular_cases_April_2016.csv,1,0.012195121951219513,3.8865137971239795e-05,7.748334108166744e-05,1.0,1.0,1.0,1.0,1.0,1.0
NBA_scores_out.csv,1,0.2702702702702703,0.05263157894736842,0.0881057268722467,1.0,1.0,1.0,1.0,1.0,1.0
workforce-management-information-dft_201706.csv,1,0.7299270072992701,0.04859086491739553,0.09111617312072894,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_3.dat.csv,1,0.4177389705882353,0.40517049253398707,0.41135875098993097,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x500-0.50_6.datInfos.csv,1,0.3142857142857143,0.3142857142857143,0.3142857142857143,1.0,1.0,1.0,1.0,1.0,1.0
AL5083-emissivity.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
bioprofile_fits_K1par-0mMCD_sets.csv,1,0.23076923076923078,0.09090909090909091,0.13043478260869568,1.0,1.0,1.0,1.0,1.0,1.0
ResultsOR30x100-0.50_10.dat__m28Infos.csv,1,0.37142857142857144,0.37142857142857144,0.37142857142857144,1.0,1.0,1.0,1.0,1.0,1.0
wairakite-dh.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Wine_Cellar_Consumption_dataset_14-15.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
W44out.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
rape_table_3_prosecution_outcomes_0708_1314.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
hypo5.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Sustainability_-_Water_consumption_P_56.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
vissim_data_conf2473_i7_v1987.csv,1,1.0,0.004901960784313725,0.00975609756097561,1.0,1.0,1.0,1.0,1.0,1.0
vissim_data_conf2473_i12_v2026.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
extended.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
S39.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Resultsgk06.datInfos.csv,1,0.45714285714285713,0.45714285714285713,0.45714285714285713,1.0,1.0,1.0,1.0,1.0,1.0
SouthTrent_Demand_zone-based.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
O18_air.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Note_4_Staff_costs_-_Average_number_of_persons_employed_13-14.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
W38out.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
20170320-ePC_Data-Travel-Stationery.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
business_expenses_apr_jun_14_peter_lewis.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
GPC_DCLG_December_2015_for_Publication.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
W32.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Camp Palacios - Wind Direction.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
"Businesses with a rateable value of less than £12,000 - March 2016.csv",1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
june_2015(1).csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
planning-application-aug-17.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
air_quality_station3_2006.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Wakefield Council Procurement Card Transactions 2018-19 Q2.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
spending_2020_01.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
Camp Palacios - Humidity.csv,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
fire_archive_V1_50574.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
all.csv,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
